IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms)
43.218.77.16,443,443,True,CGK,Asia Pacific,ID,Jakarta,64
35.219.118.35,80,80,False,CGK,Asia Pacific,ID,Jakarta,373
112.185.162.7,12149,443,True,FUK,Asia Pacific,JP,Fukuoka,54
125.134.210.61,12225,443,True,FUK,Asia Pacific,JP,Fukuoka,58
125.134.16.238,12541,443,True,FUK,Asia Pacific,JP,Fukuoka,59
222.104.209.76,16316,443,True,FUK,Asia Pacific,JP,Fukuoka,60
210.96.92.11,12235,443,True,FUK,Asia Pacific,JP,Fukuoka,61
112.185.162.7,18066,443,True,FUK,Asia Pacific,JP,Fukuoka,61
112.164.37.65,12472,443,True,FUK,Asia Pacific,JP,Fukuoka,61
220.92.164.16,21935,443,True,FUK,Asia Pacific,JP,Fukuoka,62
59.31.235.90,12379,80,False,FUK,Asia Pacific,JP,Fukuoka,62
175.199.13.196,16443,443,True,FUK,Asia Pacific,JP,Fukuoka,62
125.134.169.165,12173,443,True,FUK,Asia Pacific,JP,Fukuoka,63
125.135.12.41,12163,443,True,FUK,Asia Pacific,JP,Fukuoka,64
222.104.23.36,12189,443,True,FUK,Asia Pacific,JP,Fukuoka,64
222.104.20.22,12229,443,True,FUK,Asia Pacific,JP,Fukuoka,65
112.187.59.195,23082,443,True,FUK,Asia Pacific,JP,Fukuoka,65
125.140.145.188,18055,443,True,FUK,Asia Pacific,JP,Fukuoka,65
125.140.167.153,12270,443,True,FUK,Asia Pacific,JP,Fukuoka,65
125.135.222.241,14903,443,True,FUK,Asia Pacific,JP,Fukuoka,65
222.108.106.148,16012,443,True,FUK,Asia Pacific,JP,Fukuoka,66
211.196.165.217,10065,443,True,FUK,Asia Pacific,JP,Fukuoka,67
112.164.53.216,36422,443,True,FUK,Asia Pacific,JP,Fukuoka,67
175.198.156.202,10009,443,True,FUK,Asia Pacific,JP,Fukuoka,67
59.25.136.47,12289,443,True,FUK,Asia Pacific,JP,Fukuoka,67
211.252.100.154,32400,443,True,FUK,Asia Pacific,JP,Fukuoka,67
222.104.240.250,11920,443,True,FUK,Asia Pacific,JP,Fukuoka,68
112.162.200.89,12280,443,True,FUK,Asia Pacific,JP,Fukuoka,68
59.12.46.51,35250,443,True,FUK,Asia Pacific,JP,Fukuoka,68
112.164.53.216,10006,443,True,FUK,Asia Pacific,JP,Fukuoka,68
222.102.166.18,12490,80,False,FUK,Asia Pacific,JP,Fukuoka,69
112.187.59.195,10081,443,True,FUK,Asia Pacific,JP,Fukuoka,69
222.104.82.211,12243,443,True,FUK,Asia Pacific,JP,Fukuoka,70
59.11.77.172,21250,443,True,FUK,Asia Pacific,JP,Fukuoka,70
14.39.160.106,14407,443,True,FUK,Asia Pacific,JP,Fukuoka,70
14.32.158.138,12268,443,True,FUK,Asia Pacific,JP,Fukuoka,70
125.136.219.92,12547,443,True,FUK,Asia Pacific,JP,Fukuoka,72
14.35.27.166,12149,443,True,FUK,Asia Pacific,JP,Fukuoka,72
59.25.212.18,21269,443,True,FUK,Asia Pacific,JP,Fukuoka,72
121.175.63.10,12581,443,True,FUK,Asia Pacific,JP,Fukuoka,72
14.32.158.138,12408,443,True,FUK,Asia Pacific,JP,Fukuoka,73
118.38.248.229,12488,443,True,FUK,Asia Pacific,JP,Fukuoka,73
211.252.100.154,11371,443,True,FUK,Asia Pacific,JP,Fukuoka,73
14.39.160.106,16085,443,True,FUK,Asia Pacific,JP,Fukuoka,74
