IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
210.105.150.15,12493,80,false,FUK,Asia Pacific,JP,Fukuoka,121,5.39
221.154.63.17,18052,443,true,FUK,Asia Pacific,JP,Fukuoka,157,5.00
121.139.47.94,21305,80,false,FUK,Asia Pacific,JP,Fukuoka,139,4.88
175.203.156.172,12438,443,true,FUK,Asia Pacific,JP,Fukuoka,133,4.69
221.144.200.91,33060,443,true,FUK,Asia Pacific,JP,Fukuoka,142,4.69
222.104.209.76,12490,80,false,FUK,Asia Pacific,JP,Fukuoka,120,4.59
121.182.150.197,12391,443,true,FUK,Asia Pacific,JP,Fukuoka,125,4.26
220.120.172.116,12272,443,true,FUK,Asia Pacific,JP,Fukuoka,152,4.24
121.175.182.146,20000,443,true,FUK,Asia Pacific,JP,Fukuoka,119,4.22
222.99.156.159,39922,443,true,FUK,Asia Pacific,JP,Fukuoka,129,4.22
121.178.230.168,16085,443,true,FUK,Asia Pacific,JP,Fukuoka,134,4.20
125.133.87.3,12503,443,true,FUK,Asia Pacific,JP,Fukuoka,129,4.17
119.202.158.65,21288,443,true,FUK,Asia Pacific,JP,Fukuoka,124,4.14
211.250.250.146,12284,443,true,FUK,Asia Pacific,JP,Fukuoka,122,4.08
112.172.166.56,19999,443,true,FUK,Asia Pacific,JP,Fukuoka,130,4.05
59.11.37.114,12129,443,true,FUK,Asia Pacific,JP,Fukuoka,131,4.05
14.42.67.174,14130,80,false,FUK,Asia Pacific,JP,Fukuoka,135,4.00
220.88.9.133,11180,443,true,FUK,Asia Pacific,JP,Fukuoka,147,4.00
14.32.158.138,11065,443,true,FUK,Asia Pacific,JP,Fukuoka,140,3.96
222.99.156.159,12256,443,true,FUK,Asia Pacific,JP,Fukuoka,141,3.96
121.175.63.10,32400,443,true,FUK,Asia Pacific,JP,Fukuoka,125,3.92
119.203.153.186,12119,443,true,FUK,Asia Pacific,JP,Fukuoka,134,3.92
222.104.23.36,23023,443,true,FUK,Asia Pacific,JP,Fukuoka,136,3.92
183.104.82.130,14101,443,true,FUK,Asia Pacific,JP,Fukuoka,132,3.91
112.187.59.195,12250,443,true,FUK,Asia Pacific,JP,Fukuoka,125,3.91
121.128.137.21,24084,443,true,FUK,Asia Pacific,JP,Fukuoka,124,3.90
59.22.80.192,12565,443,true,FUK,Asia Pacific,JP,Fukuoka,117,3.90
121.144.133.84,12352,443,true,FUK,Asia Pacific,JP,Fukuoka,139,3.89
14.35.67.245,12398,80,false,FUK,Asia Pacific,JP,Fukuoka,122,3.87
121.191.6.251,16061,443,true,FUK,Asia Pacific,JP,Fukuoka,131,3.86
210.126.67.51,20443,443,true,FUK,Asia Pacific,JP,Fukuoka,132,3.85
221.163.103.29,16028,80,false,FUK,Asia Pacific,JP,Fukuoka,146,3.84
