IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms)
35.219.118.35,80,80,false,CGK,Asia Pacific,ID,Jakarta,103
121.175.63.10,10066,443,true,FUK,Asia Pacific,JP,Fukuoka,112
121.150.78.50,16100,443,true,FUK,Asia Pacific,JP,Fukuoka,113
183.106.185.231,10090,443,true,FUK,Asia Pacific,JP,Fukuoka,115
211.194.205.58,12576,443,true,FUK,Asia Pacific,JP,Fukuoka,115
14.46.223.188,12444,443,true,FUK,Asia Pacific,JP,Fukuoka,115
183.103.28.168,12117,8443,true,FUK,Asia Pacific,JP,Fukuoka,116
14.43.132.168,11112,443,true,FUK,Asia Pacific,JP,Fukuoka,117
211.196.165.217,12471,443,true,FUK,Asia Pacific,JP,Fukuoka,118
59.20.51.125,12250,443,true,FUK,Asia Pacific,JP,Fukuoka,118
119.203.228.108,12529,443,true,FUK,Asia Pacific,JP,Fukuoka,118
59.19.24.168,12209,443,true,FUK,Asia Pacific,JP,Fukuoka,118
183.104.82.130,14330,443,true,FUK,Asia Pacific,JP,Fukuoka,118
119.201.161.141,12251,443,true,FUK,Asia Pacific,JP,Fukuoka,119
121.159.11.183,12549,80,false,FUK,Asia Pacific,JP,Fukuoka,119
220.77.188.107,21296,80,false,FUK,Asia Pacific,JP,Fukuoka,119
221.165.128.234,12134,443,true,FUK,Asia Pacific,JP,Fukuoka,120
121.175.158.112,36501,443,true,FUK,Asia Pacific,JP,Fukuoka,120
125.136.217.19,10003,443,true,FUK,Asia Pacific,JP,Fukuoka,120
125.135.123.97,12504,443,true,FUK,Asia Pacific,JP,Fukuoka,120
183.104.5.134,19902,443,true,FUK,Asia Pacific,JP,Fukuoka,120
220.81.190.141,18102,443,true,FUK,Asia Pacific,JP,Fukuoka,120
59.23.155.196,10397,443,true,FUK,Asia Pacific,JP,Fukuoka,120
175.215.154.208,12127,443,true,FUK,Asia Pacific,JP,Fukuoka,121
112.164.34.209,16831,443,true,FUK,Asia Pacific,JP,Fukuoka,121
125.135.123.97,12223,443,true,FUK,Asia Pacific,JP,Fukuoka,121
222.102.109.171,12156,443,true,FUK,Asia Pacific,JP,Fukuoka,121
220.82.123.108,12444,443,true,FUK,Asia Pacific,JP,Fukuoka,121
183.104.1.110,12361,80,false,FUK,Asia Pacific,JP,Fukuoka,121
121.151.79.187,12110,443,true,FUK,Asia Pacific,JP,Fukuoka,121
14.46.29.197,11288,443,true,FUK,Asia Pacific,JP,Fukuoka,121
112.187.59.195,10081,443,true,FUK,Asia Pacific,JP,Fukuoka,122
220.77.107.150,18071,443,true,FUK,Asia Pacific,JP,Fukuoka,122
221.157.167.175,10036,443,true,FUK,Asia Pacific,JP,Fukuoka,122
220.80.75.163,12266,443,true,FUK,Asia Pacific,JP,Fukuoka,122
210.183.86.82,10010,443,true,FUK,Asia Pacific,JP,Fukuoka,122
